city,lat,lng,count,text,count_log
Vancouver,49.2635658071342,-123.13857220175,49338,Vancouver<br>Count: 49338,10.80644985419895
Nelson,-41.3064306767645,173.314312839581,1674,Nelson<br>Count: 1674,7.422971251049421
Kamloops,50.6766098302855,-120.339019197163,1177,Kamloops<br>Count: 1177,7.0707241072602764
Surrey,51.2364198394575,-0.57029093436474,1116,Surrey<br>Count: 1116,7.017506142941256
Kelowna,49.8844878173074,-119.493499195778,780,Kelowna<br>Count: 780,6.659293919683638
Nanaimo,49.1643798055091,-123.936660203057,762,Nanaimo<br>Count: 762,6.635946555686647
Penticton,49.480655810691,-119.584793195927,751,Penticton<br>Count: 751,6.621405651764134
Cranbrook,49.517517811295,-115.760421189661,695,Cranbrook<br>Count: 695,6.543911845564792
Vernon,50.2637178235207,-119.273719195418,585,Vernon<br>Count: 585,6.371611847231857
New Westminster,49.219608806414,-122.908462201373,520,New Westminster<br>Count: 520,6.253828811575473
Prince George,53.9125788833036,-122.747772201109,332,Prince George<br>Count: 332,5.805134968916488
Salmo,49.1949008060092,-117.27920519215,318,Salmo<br>Count: 318,5.762051382780177
Abbotsford,49.0630378038488,-122.251352002966,312,Abbotsford<br>Count: 312,5.7430031878094825
Chilliwack,49.1709098056161,-121.952601998071,279,Chilliwack<br>Count: 279,5.631211781821365
Merritt,50.1126938210463,-120.787963197899,224,Merritt<br>Count: 224,5.4116460518550396
Fairmont Hot Springs,50.3355108246969,-115.856803189819,209,Fairmont Hot Springs<br>Count: 209,5.342334251964811
Grand Forks,47.9257047852147,-97.0360711589839,197,Grand Forks<br>Count: 197,5.2832037287379885
Trail,49.0986178044317,-117.702384192843,166,Trail<br>Count: 166,5.111987788356544
Mission,49.1343808050176,-122.296058200369,102,Mission<br>Count: 102,4.624972813284271
Terrace,54.5188338932365,-128.611404210716,90,Terrace<br>Count: 90,4.499809670330265
Chase,50.8172268325894,-119.682502196087,85,Chase<br>Count: 85,4.442651256490317
Boston Bar,49.8670348170214,-121.44213819897,51,Boston Bar<br>Count: 51,3.9318256327243257
Hope,6.81857711171557,80.9820481326809,47,Hope<br>Count: 47,3.8501476017100584
Burnaby,49.2437748068099,-122.981697201493,40,Burnaby<br>Count: 40,3.6888794541139363
Sun Peaks,50.8780408335858,-119.906867196455,39,Sun Peaks<br>Count: 39,3.6635616461296463
Maple Ridge,49.2190288064045,-122.604522200875,26,Maple Ridge<br>Count: 26,3.258096538021482
Castlegar,49.3256988081522,-117.665710192783,21,Castlegar<br>Count: 21,3.044522437723423
White Rock,49.0257188032373,-122.801147201197,21,White Rock<br>Count: 21,3.044522437723423
Coquitlam,49.2850538074863,-122.794593201186,21,Coquitlam<br>Count: 21,3.044522437723423
Kimberley,-28.7378104708402,24.7662104057695,8,Kimberley<br>Count: 8,2.0794415416798357
Princeton,40.3423386609688,-74.6560361223164,6,Princeton<br>Count: 6,1.791759469228055
Williams Lake,52.1426698543055,-122.144264200121,4,Williams Lake<br>Count: 4,1.3862943611198906
Langley,49.1035658045128,-122.65656220096,2,Langley<br>Count: 2,0.6931471805599453
Powell River,49.8669898170207,-124.54838520406,1,Powell River<br>Count: 1,0.0
Victoria,-36.8500936037519,144.304290236428,1,Victoria<br>Count: 1,0.0
